worker	project_id	task_id	resolution_type	start_ts	end_ts
login1	1	task_1	resolution_1	1576865064	1576867011
login1	2	task_2	resolution_1	1576837986	1576838385
login1	1	task_3	resolution_1	1576078746	1576079378
login1	1	task_4	resolution_2	1576504430	1576504564
login1	1	task_5	resolution_1	1575398193	1575398809
login1	1	task_6	resolution_1	1576505016	1576505098
login1	2	task_7	resolution_1	1575988988	1575989732
login1	2	task_8	resolution_1	1575907558	1575907956
login1	2	task_9	resolution_1	1575398824	1575398972
login1	2	task_10	resolution_1	1575217247	1575219488
login1	1	task_11	resolution_1	1575652629	1575653966
login1	2	task_12	resolution_1	1575305684	1575306286
login1	1	task_13	resolution_1	1575221062	1575221431
login1	1	task_14	resolution_1	1575905586	1575906149
login1	2	task_15	resolution_1	1576500800	1576501769
login1	2	task_16	resolution_1	1575997675	1575998137
login1	1	task_17	resolution_1	1575998151	1575999147
login1	1	task_18	resolution_1	1575300238	1575300601
login1	1	task_19	resolution_1	1575393630	1575394420
login1	1	task_20	resolution_1	1576598803	1576599083
login1	1	task_21	resolution_1	1576001871	1576002503
login1	1	task_22	resolution_1	1575831708	1575832268
login1	1	task_23	resolution_1	1575905081	1575905582
login1	1	task_24	resolution_2	1575393361	1575393553
login1	2	task_25	resolution_1	1575214497	1575214969
login1	1	task_26	resolution_1	1575388497	1575389191
login1	1	task_27	resolution_2	1575307638	1575307662
login1	2	task_28	resolution_1	1576832533	1576833664
login1	2	task_29	resolution_1	1576766412	1576768195
login1	1	task_30	resolution_1	1575822141	1575822857
login1	1	task_31	resolution_1	1575988461	1575988961
login1	2	task_32	resolution_1	1575215343	1575217244
login1	1	task_33	resolution_1	1575311163	1575311449
login1	1	task_34	resolution_1	1576162691	1576162766
login1	2	task_35	resolution_1	1576171726	1576172842
login1	2	task_36	resolution_1	1576501774	1576502684
login1	1	task_37	resolution_1	1575746126	1575746853
login1	2	task_38	resolution_2	1575990664	1575990701
login1	2	task_39	resolution_1	1576163350	1576163831
login1	1	task_40	resolution_1	1575394496	1575394752
login1	1	task_41	resolution_1	1576402561	1576403178
login1	1	task_42	resolution_1	1576403182	1576403989
login1	1	task_43	resolution_1	1575829905	1575830272
login1	1	task_44	resolution_1	1576687610	1576687853
login1	2	task_45	resolution_1	1576174482	1576176295
