Prefix:  ctg(ln(x+5))
Postfix: x 5 + ln ctg 
x=-10.000000, y=0.000000
x=-9.999000, y=0.000000
x=-9.997999, y=0.000000
x=-9.996999, y=0.000000
x=-9.995998, y=0.000000
x=-9.994998, y=0.000000
x=-9.993998, y=0.000000
x=-9.992997, y=0.000000
x=-9.991997, y=0.000000
x=-9.990996, y=0.000000
x=-9.989996, y=0.000000
x=-9.988996, y=0.000000
x=-9.987995, y=0.000000
x=-9.986995, y=0.000000
x=-9.985994, y=0.000000
x=-9.984994, y=0.000000
x=-9.983994, y=0.000000
x=-9.982993, y=0.000000
x=-9.981993, y=0.000000
x=-9.980992, y=0.000000
x=-9.979992, y=0.000000
x=-9.978992, y=0.000000
x=-9.977991, y=0.000000
x=-9.976991, y=0.000000
x=-9.975990, y=0.000000
x=-9.974990, y=0.000000
x=-9.973989, y=0.000000
x=-9.972989, y=0.000000
x=-9.971989, y=0.000000
x=-9.970988, y=0.000000
x=-9.969988, y=0.000000
x=-9.968987, y=0.000000
x=-9.967987, y=0.000000
x=-9.966987, y=0.000000
x=-9.965986, y=0.000000
x=-9.964986, y=0.000000
x=-9.963985, y=0.000000
x=-9.962985, y=0.000000
x=-9.961985, y=0.000000
x=-9.960984, y=0.000000
x=-9.959984, y=0.000000
x=-9.958983, y=0.000000
x=-9.957983, y=0.000000
x=-9.956983, y=0.000000
x=-9.955982, y=0.000000
x=-9.954982, y=0.000000
x=-9.953981, y=0.000000
x=-9.952981, y=0.000000
x=-9.951981, y=0.000000
x=-9.950980, y=0.000000
x=-9.949980, y=0.000000
x=-9.948979, y=0.000000
x=-9.947979, y=0.000000
x=-9.946979, y=0.000000
x=-9.945978, y=0.000000
x=-9.944978, y=0.000000
x=-9.943977, y=0.000000
x=-9.942977, y=0.000000
x=-9.941977, y=0.000000
x=-9.940976, y=0.000000
x=-9.939976, y=0.000000
x=-9.938975, y=0.000000
x=-9.937975, y=0.000000
x=-9.936975, y=0.000000
x=-9.935974, y=0.000000
x=-9.934974, y=0.000000
x=-9.933973, y=0.000000
x=-9.932973, y=0.000000
x=-9.931973, y=0.000000
x=-9.930972, y=0.000000
x=-9.929972, y=0.000000
x=-9.928971, y=0.000000
x=-9.927971, y=0.000000
x=-9.926970, y=0.000000
x=-9.925970, y=0.000000
x=-9.924970, y=0.000000
x=-9.923969, y=0.000000
x=-9.922969, y=0.000000
x=-9.921968, y=0.000000
x=-9.920968, y=0.000000
